year,month_name,mean_temp,max_temp,min_temp
1989,April,-1.9,3.6,-7.2
1989,May,-1,4.4,-10.8
1989,June,-2.4,5,-9.8
1989,July,-1.6,2.8,-8.9
1989,August,-2.4,3.3,-11.1
1989,September,-2.4,3.9,-10
1989,October,-0.4,7.8,-5
1989,November,1.1,6.7,-3.7
1989,December,2.6,6.7,-1.7
1990,January,3.6,8.7,-0.1
1990,February,3.6,8.3,-1.1
1990,March,1.9,6.2,-3.3
1990,April,-2.5,3.3,-10.6
1990,May,-3,5.7,-8.2
1990,June,-3.4,3.3,-11.1
1990,July,-2.9,3.9,-10.1
1990,August,-6.3,3.3,-18.3
1990,September,-4.7,5.1,-20.6
1990,October,-2.2,6.1,-11.5
1990,November,-1.4,3.9,-7.3
1990,December,1.6,7.4,-4.4
1991,January,3.1,8,-2.3
1991,February,2.6,9.8,-2.5
1991,March,0.8,6.9,-4.4
1991,April,-1.1,5,-7
1991,May,-5.1,3.5,-11.5
1991,June,-7.4,1.2,-17
1991,July,-6.1,3,-16.2
1991,August,-6.5,3,-18
1991,September,-4.2,4.3,-17.5
1991,October,-5.2,4.5,-13.8
1991,November,-0.5,6.8,-7.4
1991,December,1.4,8.1,-3.8
1992,January,2.6,7.6,-1.6
1992,February,1.3,6.4,-2.7
1992,March,-0.3,8.5,-7.9
1992,April,-0.9,5.7,-7.5
1992,May,-5.8,3.5,-14
1992,June,-8.1,-0.1,-19.9
1992,July,-8.4,2.7,-22
1992,August,-6.3,3.8,-24.7
1992,September,-4.3,3.5,-20.1
1992,October,-1.5,5.5,-9.5
1992,November,0.1,5.8,-7.4
1992,December,3.3,10.3,-0.7
1993,January,3.2,10.1,-2.6
1993,February,2.4,8.5,-1.9
1993,March,-0,8,-8.5
1993,April,-1,4.3,-8.5
1993,May,-2.4,4.5,-11
1993,June,-5,1.8,-15.3
1993,July,-4.3,3.4,-13.4
1993,August,-4.7,2.4,-17.6
1993,September,-4.6,2.3,-16.9
1993,October,-3.3,5,-15.4
1993,November,0.8,6.1,-7.5
1993,December,1.1,6.6,-4.5
1994,January,2.2,7.4,-2.7
1994,February,2,6.2,-3.2
1994,March,0.8,6.3,-4.5
1994,April,-0.8,5.1,-7.9
1994,May,-3.2,3.2,-9.3
1994,June,-4.6,2.6,-11
1994,July,-11,0.5,-25.6
1994,August,-6.6,2.6,-24.6
1994,September,-6.1,4,-20
1994,October,-6.6,4,-14.6
